Param	% Change in param	Fdiff	Pdiff	Adiff	Udiff
alpha	6.0	-0.014154291271874675	0.014154291271874498	0.0	0.0
alpha	7.0	-0.016513339817186917	0.01651333981718713	0.0	0.0
alpha	8.0	-0.01887238836250149	0.01887238836249949	0.0	0.0
alpha	9.0	-0.02123143690781465	0.02123143690781126	0.0	0.0
alpha	10.0	-0.023590485453127363	0.023590485453124272	0.0	0.0
ry	-10.0	-5.828670879282072E-16	1.5230872119076366E-15	0.0	0.0
ry	-9.0	-8.326672684688674E-16	-1.4849232954361469E-15	0.0	0.0
ry	-8.0	-4.996003610813204E-16	-1.061650767297806E-15	0.0	0.0
ry	-7.0	6.661338147750939E-16	4.649058915617843E-16	0.0	0.0
ry	-6.0	-2.0261570199409107E-15	-1.2836953722228372E-15	0.0	0.0
ry	-5.0	-9.159339953157541E-16	5.724587470723463E-16	0.0	0.0
ry	-4.0	-1.5265566588595902E-15	-1.5751289161869408E-15	0.0	0.0
ry	-3.0	3.3306690738754696E-16	2.7755575615628914E-17	0.0	0.0
ry	-2.0	-9.159339953157541E-16	-8.500145032286355E-16	0.0	0.0
ry	-1.0	-4.163336342344337E-16	-6.349087922075114E-16	0.0	0.0
ry	0.0	0.0	0.0	0.0	0.0
ry	1.0	-1.1934897514720433E-15	-1.304512053934559E-15	0.0	0.0
ry	2.0	5.828670879282072E-16	-3.642919299551295E-16	0.0	0.0
ry	3.0	7.771561172376096E-16	-3.920475055707584E-16	0.0	0.0
ry	4.0	5.828670879282072E-16	-8.951173136040325E-16	0.0	0.0
ry	5.0	6.661338147750939E-16	7.7021722333370235E-16	0.0	0.0
ry	6.0	-1.6653345369377348E-16	-1.0928757898653885E-15	0.0	0.0
ry	7.0	-5.824853127944785E-6	5.824801881691016E-6	0.0	0.0
ry	8.0	-2.7412553395250727E-5	2.7412312185323695E-5	0.0	0.0
ry	9.0	-5.7001911718368437E-5	5.7001409870024305E-5	0.0	0.0
ry	10.0	-9.224613580760543E-5	9.224532338178784E-5	0.0	0.0
gamma	-10.0	0.0	0.0	0.0	0.0
gamma	-9.0	0.0	0.0	0.0	0.0
gamma	-8.0	0.0	0.0	0.0	0.0
gamma	-7.0	0.0	0.0	0.0	0.0
gamma	-6.0	0.0	0.0	0.0	0.0
gamma	-5.0	0.0	0.0	0.0	0.0
gamma	-4.0	0.0	0.0	0.0	0.0
gamma	-3.0	0.0	0.0	0.0	0.0
